feature1,feature2,feature3,target
0.3745401188473625,0.9507143064099162,0.7319939418114051,2.3602234903434636
0.5986584841970366,0.15601864044243652,0.15599452033620265,2.081445321346657
0.05808361216819946,0.8661761457749352,0.6011150117432088,1.9473724426743257
0.7080725777960455,0.020584494295802447,0.9699098521619943,6.633683953501537
0.8324426408004217,0.21233911067827616,0.18182496720710062,2.203599596944523
0.18340450985343382,0.3042422429595377,0.5247564316322378,2.2256841824816083
0.43194501864211576,0.2912291401980419,0.6118528947223795,3.0458676313566455
0.13949386065204183,0.29214464853521815,0.3663618432936917,1.795603255784589
0.45606998421703593,0.7851759613930136,0.19967378215835974,0.42832778139068717
0.5142344384136116,0.5924145688620425,0.046450412719997725,0.743424826870097
0.6075448519014384,0.17052412368729153,0.06505159298527952,2.298058745711798
0.9488855372533332,0.9656320330745594,0.8083973481164611,5.056302303788454
0.3046137691733707,0.09767211400638387,0.6842330265121569,3.007587866614769
0.4401524937396013,0.12203823484477883,0.4951769101112702,3.1099142809236535
0.034388521115218396,0.9093204020787821,0.2587799816000169,-0.9006337094347101
0.662522284353982,0.31171107608941095,0.5200680211778108,3.4490133114845025
0.5467102793432796,0.18485445552552704,0.9695846277645586,6.304842697849208
0.7751328233611146,0.9394989415641891,0.8948273504276488,4.615767255826595
0.5978999788110851,0.9218742350231168,0.0884925020519195,-0.02757051316728021
0.1959828624191452,0.045227288910538066,0.32533033076326434,2.3557377372263772
0.388677289689482,0.2713490317738959,0.8287375091519293,5.193700585479428
0.3567533266935893,0.28093450968738076,0.5426960831582485,3.373784586961368
0.14092422497476265,0.8021969807540397,0.07455064367977082,-1.5726415823543334
0.9868869366005173,0.7722447692966574,0.1987156815341724,2.4623604292120596
0.005522117123602399,0.8154614284548342,0.7068573438476171,1.84928950300672
0.7290071680409873,0.7712703466859457,0.07404465173409036,0.9513282688985353
0.3584657285442726,0.11586905952512971,0.8631034258755935,4.697215348430183
0.6232981268275579,0.3308980248526492,0.06355835028602363,2.1612978220499173
0.3109823217156622,0.32518332202674705,0.7296061783380641,2.8930309595145385
0.6375574713552131,0.8872127425763265,0.4722149251619493,2.31612268720749
0.1195942459383017,0.713244787222995,0.7607850486168974,0.4145968107711193
0.5612771975694962,0.770967179954561,0.49379559636439074,1.885524396374533
0.5227328293819941,0.42754101835854963,0.02541912674409519,0.9498752973996805
0.10789142699330445,0.03142918568673425,0.6364104112637804,2.236511677175794
0.3143559810763267,0.5085706911647028,0.907566473926093,4.529576099107928
0.24929222914887494,0.41038292303562973,0.7555511385430487,2.3588908211416815
0.22879816549162246,0.07697990982879299,0.289751452913768,1.5858173278696728
0.16122128725400442,0.9296976523425731,0.808120379564417,2.002731007604583
0.6334037565104235,0.8714605901877177,0.8036720768991145,4.409316919540562
0.18657005888603584,0.8925589984899778,0.5393422419156507,0.30731510119405314
0.8074401551640625,0.8960912999234932,0.3180034749718639,2.887453719192168
0.11005192452767676,0.22793516254194168,0.4271077886262563,1.642859095777804
0.8180147659224931,0.8607305832563434,0.006952130531190703,0.6786447108168263
0.5107473025775657,0.417411003148779,0.22210781047073025,2.072276531738478
